S.No,LIMS Batch No.,Batch No.,Mfg Date,Item Code,Strength,Acceptance Value,CU Ave. (%LC),CU %RSD,Ave. Disso @30 (%),Disso Min (%),Disso. Stage,UNIT 01,UNIT 02,UNIT 03,UNIT 04,UNIT 05,UNIT 06,UNIT 07,UNIT 08,UNIT 09,UNIT10,UNIT 11,UNIT 12,Assay (%LC),Assay/Strength * 100,Ind. Imp (%),Tot. Imp. (%),Physical Imperfections (Defects),,,,,Tot. Aerobic Ct. (TAMC),Tot. Yeast/Molds Ct. (TYMC),E. Coli,Salmonella,Enterobac.
107,3C6002P-MICRO-0101533,3C6002P,3/3/2013,1136209,0.5,4.5,96.9,1.2,97,96,S1,99,96,96,98,96,97,,,,,,,0.486,97.2,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
108,3C6003P-MICRO-0101538,3C6003P,3/4/2013,1136209,0.5,2.1,97.7,0.5,99,98,S1,98,100,100,99,98,101,,,,,,,0.487,97.4,0.1,0.1,0,0,1,0,1,<10,<5,ABSENT_1G,ABSENT_10G,<10
109,3C6004P-MICRO-0101543,3C6004P,3/5/2013,1136209,0.5,4.5,99.4,1.3,100,96,S1,101,101,96,101,100,98,,,,,,,0.496,99.2,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
110,3C6005P-MICRO-0101548,3C6005P,3/6/2013,1136209,0.5,2.8,99.7,1.2,99,96,S1,100,96,98,99,101,100,,,,,,,0.497,99.4,<0.10,<0.10,0,0,1,2,3,<10,<5,ABSENT_1G,ABSENT_10G,<10
111,3C6006P-MICRO-0101553,3C6006P,3/7/2013,1136209,0.5,2.2,99.3,0.9,100,98,S1,101,98,101,98,100,99,,,,,,,0.497,99.4,<0.10,<0.10,0,0,1,2,3,<10,<5,ABSENT_1G,ABSENT_10G,<10
112,3C6007P-MICRO-0101558,3C6007P,3/8/2013,1136209,0.5,3.3,99,1.4,101,100,S1,100,101,102,103,102,100,,,,,,,0.498,99.6,<0.10,<0.10,0,0,0,1,1,<10,<5,ABSENT_1G,ABSENT_10G,<10
113,3C6008P-MICRO-0101563,3C6008P,3/10/2013,1136209,0.5,1.7,99.5,0.7,101,97,S1,101,97,101,103,100,102,,,,,,,0.502,100.4,<0.10,<0.10,0,0,1,0,1,<10,<5,ABSENT_1G,ABSENT_10G,<10
114,3C9001X,3C9001X,3/15/2013,1298655X0,0.5,2.6,98.6,1.1,98,96,S1,98,99,97,96,100,96,,,,,,,0.495,99,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
115,3C9002X,3C9002X,3/16/2013,1298655x0,0.5,2.7,98,0.9,99,97,S1,99,97,100,99,97,99,,,,,,,0.493,98.6,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
116,3C9003X,3C9003X,3/16/2013,1298655X0,0.5,2.4,99.6,1,97,92,S1,94,98,92,98,98,100,,,,,,,0.497,99.4,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
117,3D6025P-MICRO-0106175,3D6025P,4/1/2013,1136209,0.5,3.9,99.4,1.6,99,99,S1,99,100,99,100,99,99,,,,,,,0.499,99.8,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
118,3D6004P-MICRO-0105224,3D6004P,4/2/2013,1136209,0.5,2.5,99.7,1,99,97,S1,97,100,99,101,99,99,,,,,,,0.498,99.6,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
119,3D6005P-MICRO-0105229,3D6005P,4/3/2013,1136209,0.5,1.5,99.5,0.6,97,91,S1,91,97,98,99,98,98,,,,,,,0.495,99,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
120,3D6006P-MICRO-0105234,3D6006P,4/4/2013,1136209,0.5,3.1,98.8,1.3,98,95,S1,98,100,95,98,97,98,,,,,,,0.493,98.6,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
121,3D6007P-MICRO-0105239,3D6007P,4/5/2013,1136209,0.5,1.6,99.7,0.7,98,97,S1,97,100,97,97,98,99,,,,,,,0.5,100,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
122,3D6008P-MICRO-0105245,3D6008P,4/8/2013,1136209,0.5,4.2,99.1,1.7,98,92,S1,92,100,98,98,98,99,,,,,,,0.498,99.6,<0.10,<0.10,0,0,0,8,8,<10,<5,ABSENT_1G,ABSENT_10G,<10
123,3D6009P-MICRO-0105250,3D6009P,4/9/2013,1136209,0.5,3.4,98.7,1.4,99,98,S1,99,100,98,102,98,98,,,,,,,0.496,99.2,<0.10,<0.10,0,0,0,2,2,<10,<5,ABSENT_1G,ABSENT_10G,<10
124,3D6010P-MICRO-0105256,3D6010P,4/11/2013,1136209,0.5,2.8,98.6,1.2,98,95,S1,99,101,99,97,95,99,,,,,,,0.494,98.8,<0.10,<0.10,0,0,0,8,8,<10,<5,ABSENT_1G,ABSENT_10G,<10
125,3D6011P-MICRO-0105262,3D6011P,4/12/2013,1136209,0.5,3.4,99.5,1.4,100,98,S1,100,102,99,98,103,100,,,,,,,0.494,98.8,<0.10,<0.10,0,0,0,6,6,<10,<5,ABSENT_1G,ABSENT_10G,<10
126,3D6012P-MICRO-0105267,3D6012P,4/13/2013,1136209,0.5,3.1,99.3,1.3,99,98,S1,100,100,100,98,99,99,,,,,,,0.497,99.4,<0.10,<0.10,0,0,0,0,0,10,<5,ABSENT_1G,ABSENT_10G,<10
127,3D6013P-MICRO-0105272,3D6013P,4/15/2013,1136209,0.5,2.9,98.9,1.2,97,95,S1,96,98,95,96,98,99,,,,,,,0.49,98,<0.10,<0.10,0,0,0,1,1,<10,<5,ABSENT_1G,ABSENT_10G,<10
128,3D6014P-MICRO-0105278,3D6014P,4/16/2013,1136209,0.5,4.5,99.4,1.9,97,94,S1,99,99,95,96,94,99,,,,,,,0.498,99.6,<0.10,<0.10,0,0,1,0,1,<10,<5,ABSENT_1G,ABSENT_10G,<10
129,3D6015P-MICRO-0105563,3D6015P,4/17/2013,1136209,0.5,3.3,99.1,1.4,95,91,S1,96,91,97,96,96,96,,,,,,,0.497,99.4,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
130,3D6016P-MICRO-0107292,3D6016P,4/18/2013,1136209,0.5,3.4,99.2,1.4,97,96,S1,97,96,96,97,98,99,,,,,,,0.495,99,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
131,3D6017P-MICRO-0107297,3D6017P,4/19/2013,1136209,0.5,1.2,98.7,0.5,99,97,S1,97,99,99,100,100,100,,,,,,,0.501,100.2,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
132,3D6018P-MICRO-0107302,3D6018P,4/20/2013,1136209,0.5,2.5,98.6,1,100,96,S1,96,100,100,100,101,101,,,,,,,0.494,98.8,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
133,3D6019P-MICRO-0107307,3D6019P,4/22/2013,1136209,0.5,2.4,98.9,1,98,95,S1,95,98,99,101,101,96,,,,,,,0.491,98.2,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
134,3D6020P-MICRO-0107312,3D6020P,4/23/2013,1136209,0.5,3.1,99.2,1.3,100,98,S1,101,101,98,100,100,100,,,,,,,0.492,98.4,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
135,3D6021P-MICRO-0107317,3D6021P,4/25/2013,1136209,0.5,2.3,98.9,1,98,97,S1,97,99,98,98,97,98,,,,,,,0.491,98.2,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
136,3E6020P-MICRO-0110775,3E6020P,5/14/2013,1136209,0.5,2.1,99.9,0.9,99,96,S1,100,100,98,100,96,102,,,,,,,0.501,100.2,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
137,3E6021P-MICRO-0110780,3E6021P,5/15/2013,1136209,0.5,3.5,99.9,1.4,100,98,S1,98,101,100,101,99,102,,,,,,,0.504,100.8,<0.10,<0.10,0,0,0,8,8,<10,<5,ABSENT_1G,ABSENT_10G,<10
138,3E6022P-MICRO-0110785,3E6022P,5/16/2013,1136209,0.5,1.2,99.9,0.5,98,95,S1,99,97,98,100,95,98,,,,,,,0.5,100,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
139,3E6023P-MICRO-0110790,3E6023P,5/19/2013,1136209,0.5,1.5,99.1,0.6,97,96,S1,96,98,97,97,99,97,,,,,,,0.497,99.4,<0.10,<0.10,0,0,0,3,3,<10,<5,ABSENT_1G,ABSENT_10G,<10
140,3E6024P-MICRO-0110795,3E6024P,5/20/2013,1136209,0.5,1.3,98.4,0.5,100,97,S1,102,100,101,101,97,99,,,,,,,0.494,98.8,<0.10,<0.10,0,0,1,0,1,<10,<5,ABSENT_1G,ABSENT_10G,<10
141,3E6025P-MICRO-0110800,3E6025P,5/21/2013,1136209,0.5,2.6,99.8,1.1,101,99,S1,100,101,99,101,101,101,,,,,,,0.499,99.8,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
142,3E6026P-MICRO-0110805,3E6026P,5/22/2013,1136209,0.5,2.9,99.4,1.2,100,98,S1,100,101,100,101,98,100,,,,,,,0.501,100.2,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
143,3E6027P-MICRO-0110810,3E6027P,5/23/2013,1136209,0.5,2.1,99.8,0.9,98,95,S1,99,99,99,97,95,99,,,,,,,0.498,99.6,<0.10,<0.10,0,0,0,3,3,<10,<5,ABSENT_1G,ABSENT_10G,<10
144,3E6028P-MICRO-0110815,3E6028P,5/24/2013,1136209,0.5,4.6,100.8,1.9,101,100,S1,100,101,101,103,100,102,,,,,,,0.498,99.6,<0.10,<0.10,0,0,0,3,3,<10,<5,ABSENT_1G,ABSENT_10G,<10
145,3E6029P-MICRO-0110820,3E6029P,5/25/2013,1136209,0.5,3.2,99.3,1.3,98,95,S1,98,100,95,98,98,98,,,,,,,0.501,100.2,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
146,3F6021P-MICRO-0114042,3F6021P,6/11/2013,1136209,0.5,2.5,99.9,1,98,94,S1,99,100,98,94,98,99,,,,,,,0.498,99.6,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
147,3F6022P-MICRO-0114047,3F6022P,6/12/2013,1136209,0.5,2.4,100.8,1,100,99,S1,99,101,100,100,101,100,,,,,,,0.503,100.6,<0.10,<0.10,0,0,0,1,1,<10,<5,ABSENT_1G,ABSENT_10G,<10
148,3F6023P-MICRO-0114052,3F6023P,6/13/2013,1136209,0.5,2.4,100.2,1,100,97,S1,97,100,100,100,101,100,,,,,,,0.502,100.4,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
149,3F6024P-MICRO-0114057,3F6024P,6/14/2013,1136209,0.5,3.1,100.1,1.3,99,97,S1,98,98,97,101,99,99,,,,,,,0.503,100.6,<0.10,<0.10,0,0,0,1,1,<10,<5,ABSENT_1G,ABSENT_10G,<10
150,3F6025P-MICRO-0114062,3F6025P,6/17/2013,1136209,0.5,2.6,100,1.1,99,96,S1,96,98,99,101,99,98,,,,,,,0.504,100.8,<0.10,<0.10,0,0,0,1,1,<10,<5,ABSENT_1G,ABSENT_10G,<10
151,3F6026P-MICRO-0114067,3F6026P,6/18/2013,1136209,0.5,3.3,100.8,1.4,100,99,S1,99,99,100,100,100,101,,,,,,,0.498,99.6,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
152,3F6027P-MICRO-0114072,3F6027P,6/19/2013,1136209,0.5,3.6,99.9,1.5,98,96,S1,96,96,97,99,97,101,,,,,,,0.495,99,<0.10,<0.10,0,0,1,0,1,<10,<5,ABSENT_1G,ABSENT_10G,<10
153,3G6014P-MICRO-0117077,3G6014P,7/11/2013,1136209,0.5,2.2,98.8,0.9,98,96,S1,97,99,96,98,99,99,,,,,,,0.492,98.4,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
154,3G6015P-MICRO-0117082,3G6015P,7/12/2013,1136209,0.5,2.4,98.4,1,98,94,S1,97,98,100,94,101,98,,,,,,,0.497,99.4,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
155,3G6016P-MICRO-0117087,3G6016P,7/15/2013,1136209,0.5,2.7,98.3,1.1,97,96,S1,96,96,97,99,98,97,,,,,,,0.492,98.4,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
156,3G6017P-MICRO-0117092,3G6017P,7/16/2013,1136209,0.5,2.8,98.5,1.2,98,96,S1,97,98,96,98,100,98,,,,,,,0.5,100,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
157,3G6018P-MICRO-0117097,3G6018P,7/17/2013,1136209,0.5,2.5,97.7,0.7,96,92,S1,97,97,92,95,97,97,,,,,,,0.497,99.4,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
158,3G6019P-MICRO-0117102,3G6019P,7/18/2013,1136209,0.5,2.6,99.6,1.1,100,99,S1,99,99,100,100,101,100,,,,,,,0.499,99.8,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
159,3G6020P-MICRO-0117107,3G6020P,7/19/2013,1136209,0.5,3.1,98.1,1.1,99,96,S1,100,99,96,99,100,99,,,,,,,0.5,100,<0.10,<0.10,0,0,1,0,1,<10,<5,ABSENT_1G,ABSENT_10G,<10
160,3G6021P-MICRO-0117112,3G6021P,7/22/2013,1136209,0.5,3.1,99.5,1.3,99,97,S1,97,101,100,100,99,98,,,,,,,0.504,100.8,<0.10,<0.10,0,0,0,2,2,<10,<5,ABSENT_1G,ABSENT_10G,<10
161,3G74762WS-MICRO-0118665,3G74762WS,7/29/2013,1298655,0.5,1.1,98.5,2.6,101,99,S1,99,101,103,100,101,101,,,,,,,0.502,100.4,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
162,3H66308S-MICRO-0123724,3H66308S,9/6/2013,1136209,0.5,2.4,100.1,1,99,98,S1,99,100,98,99,98,101,,,,,,,0.495,99,<0.10,<0.10,0,0,1,1,2,10,<5,ABSENT_1G,ABSENT_10G,<10
163,3H66307S-MICRO-0123719,3H66307S,9/9/2013,1136209,0.5,2.8,99.4,1.2,100,98,S1,98,101,101,98,101,100,,,,,,,0.501,100.2,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
164,3H66309S-MICRO-0123729,3H66309S,9/10/2013,1136209,0.5,2.2,100.7,0.9,98,97,S1,99,97,97,99,98,100,,,,,,,0.5,100,0.11,0.11,0,0,0,1,1,<10,<5,ABSENT_1G,ABSENT_10G,<10
165,3H66310S-MICRO-0123734,3H66310S,9/11/2013,1136209,0.5,3.2,100,1.4,97,95,S1,96,98,98,98,95,99,,,,,,,0.5,100,0.11,0.11,0,0,0,1,1,<10,<5,ABSENT_1G,ABSENT_10G,<10
166,3H66312S-MICRO-0123744,3H66312S,9/14/2013,1136209,0.5,4,100.5,1.7,99,97,S1,98,101,100,99,97,99,,,,,,,0.499,99.8,<0.10,<0.10,0,0,0,0,0,10,<5,ABSENT_1G,ABSENT_10G,<10
167,3H66313S-MICRO-0123749,3H66313S,9/15/2013,1136209,0.5,2.6,99.9,1.1,100,99,S1,99,99,100,99,101,99,,,,,,,0.501,100.2,<0.10,<0.10,0,0,0,6,6,<10,<5,ABSENT_1G,ABSENT_10G,<10
168,3H66314S-MICRO-0123754,3H66314S,9/16/2013,1136209,0.5,2.7,100.7,1.1,100,99,S1,99,99,99,101,102,101,,,,,,,0.502,100.4,<0.10,<0.10,0,0,0,4,4,<10,5,ABSENT_1G,ABSENT_10G,<10
169,3H66315S-MICRO-0123759,3H66315S,9/17/2013,1136209,0.5,2.9,99.1,1.2,99,97,S1,99,100,100,97,100,99,,,,,,,0.495,99,<0.10,<0.10,0,0,0,0,0,10,<5,ABSENT_1G,ABSENT_10G,<10
170,3H66319S-MICRO-0123779,3H66319S,9/18/2013,1136209,0.5,3.5,99.8,1.5,98,93,S1,93,101,100,102,94,99,,,,,,,0.505,101,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
171,3H66316S-MICRO-0123764,3H66316S,10/4/2013,1136209,0.5,3,99.3,1.3,99,93,S1,100,99,102,99,93,99,,,,,,,0.493,98.6,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
172,3H66317S-MICRO-0123769,3H66317S,10/5/2013,1136209,0.5,4.6,98.8,1.9,99,96,S1,97,98,101,101,96,100,,,,,,,0.498,99.6,<0.10,<0.10,0,0,1,0,1,<10,<5,ABSENT_1G,ABSENT_10G,<10
173,3H66318S-MICRO-0123774,3H66318S,10/6/2013,1136209,0.5,3.4,98.2,1.3,100,96,S1,96,97,100,103,99,102,,,,,,,0.499,99.8,<0.10,<0.10,0,0,0,1,1,<10,<5,ABSENT_1G,ABSENT_10G,<10
174,3J77020S-MICRO-0127455,3J77020S,10/8/2013,1136209,0.5,2.9,99.1,1.2,100,98,S1,99,98,99,99,100,102,,,,,,,0.501,100.2,<0.10,<0.10,0,0,0,1,1,<10,<5,ABSENT_1G,ABSENT_10G,<10
175,3J77021S-MICRO-0127460,3J77021S,10/9/2013,1136209,0.5,3.8,100.2,1.6,99,97,S1,97,102,97,99,100,100,,,,,,,0.498,99.6,<0.10,<0.10,0,0,0,2,2,<10,<5,ABSENT_1G,ABSENT_10G,<10
176,3J77022S-MICRO-0127465,3J77022S,10/11/2013,1136209,0.5,4.2,100.4,1.8,100,97,S1,97,101,99,99,104,99,,,,,,,0.5,100,<0.10,<0.10,0,0,0,1,1,<10,<5,ABSENT_1G,ABSENT_10G,<10
177,3J77023S-MICRO-0127470,3J77023S,10/11/2013,1136209,0.5,3.1,99.9,1.3,100,98,S1,99,101,99,98,101,101,,,,,,,0.494,98.8,<0.10,<0.10,0,0,0,5,5,<10,<5,ABSENT_1G,ABSENT_10G,<10
178,3J77024S-MICRO-0127475,3J77024S,10/14/2013,1136209,0.5,4.3,99.5,1.8,98,95,S1,101,97,96,96,95,100,,,,,,,0.496,99.2,<0.10,<0.10,0,0,0,2,2,<10,<5,ABSENT_1G,ABSENT_10G,<10
179,3J77025S-MICRO-0127480,3J77025S,10/15/2013,1136209,0.5,3.9,99.4,1.6,100,98,S1,100,100,101,101,98,99,,,,,,,0.494,98.8,<0.10,<0.10,0,0,1,4,5,<10,<5,ABSENT_1G,ABSENT_10G,<10
180,3J77026S-MICRO-0127486,3J77026S,10/16/2013,1136209,0.5,3.2,99.8,1.3,101,97,S1,97,101,101,104,99,101,,,,,,,0.504,100.8,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
181,3J77027S-MICRO-0127491,3J77027S,10/17/2013,1136209,0.5,3.8,99.4,1.6,98,97,S1,97,98,97,98,99,99,,,,,,,0.499,99.8,<0.10,<0.10,0,0,0,2,2,<10,<5,ABSENT_1G,ABSENT_10G,<10
182,3J77028S-MICRO-0127496,3J77028S,10/18/2013,1136209,0.5,3.1,100.6,1.3,100,98,S1,100,102,98,100,99,98,,,,,,,0.5,100,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
183,3J77031S-MICRO-0127508,3J77031S,10/19/2013,1136209,0.5,3.7,102.4,1.2,101,99,S1,101,101,100,99,102,102,,,,,,,0.499,99.8,<0.10,<0.10,0,0,0,1,1,<10,<5,ABSENT_1G,ABSENT_10G,<10
184,3J77029S-MICRO-0127502,3J77029S,11/11/2013,1136209,0.5,2.3,99.4,0.9,99,97,S1,98,99,98,101,97,102,,,,,,,0.493,98.6,<0.10,<0.10,0,0,0,3,3,<10,<5,ABSENT_1G,ABSENT_10G,<10
185,3K78292S-MICRO-0131033,3K78292S,11/15/2013,1136209,0.5,3.6,99.2,1.5,100,99,S1,101,99,99,100,100,102,,,,,,,0.499,99.8,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
186,3K78293S1-DRM01_MIC-0136767,3K78293S,11/16/2013,1136209,0.5,3.4,100,1.4,99,94,S1,99,101,94,98,99,101,,,,,,,0.495,99,<0.10,<0.10,0,0,0,1,1,<10,<5,ABSENT_1G,ABSENT_10G,<10
187,3K78294S-MICRO-0131043,3K78294S,11/17/2013,1136209,0.5,1.7,100.3,0.7,99,98,S1,100,99,98,101,100,98,,,,,,,0.502,100.4,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
188,3K78295S-MICRO-0131048,3K78295S,11/19/2013,1136209,0.5,3,99.5,1.3,100,99,S1,99,99,100,101,99,99,,,,,,,0.497,99.4,<0.10,<0.10,0,0,0,3,3,<10,<5,ABSENT_1G,ABSENT_10G,<10
189,3K78296S-MICRO-0131053,3K78296S,11/21/2013,1136209,0.5,3.5,99.6,1.4,99,98,S1,99,100,98,98,99,101,,,,,,,0.5,100,<0.10,<0.10,0,0,0,4,4,<10,<5,ABSENT_1G,ABSENT_10G,<10
190,3K78297S-MICRO-0131058,3K78297S,11/22/2013,1136209,0.5,1.9,99.2,0.8,101,99,S1,100,99,100,101,103,100,,,,,,,0.497,99.4,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
191,3K78298S-MICRO-0131063,3K78298S,12/14/2013,1136209,0.5,3.2,99.6,1.4,100,98,S1,98,100,99,103,100,100,,,,,,,0.494,98.8,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
192,3K78301S-MICRO-0131068,3K78301S,12/15/2013,1136209,0.5,4,99.8,1.7,100,97,S1,97,100,101,100,103,101,,,,,,,0.497,99.4,<0.10,<0.10,0,0,0,3,3,<10,<5,ABSENT_1G,ABSENT_10G,<10
193,3K78302S-MICRO-0131073,3K78302S,12/16/2013,1136209,0.5,2.9,101.1,1.2,101,100,S1,101,102,102,100,100,100,,,,,,,0.505,101,<0.10,<0.10,0,0,0,3,3,<10,<5,ABSENT_1G,ABSENT_10G,<10
194,3L75074S-MICRO-0135631,3L75074S,12/17/2013,1136209,0.5,2.7,99.9,1.1,101,99,S1,99,100,100,100,102,103,,,,,,,0.497,99.4,<0.10,<0.10,0,0,0,6,6,<10,<5,ABSENT_1G,ABSENT_10G,<10
195,3L75075S-MICRO-0135636,3L75075S,12/18/2013,1136209,0.5,3,100.7,1.3,100,99,S1,103,101,99,100,99,99,,,,,,,0.508,101.6,<0.10,<0.10,0,0,0,4,4,<10,<5,ABSENT_1G,ABSENT_10G,<10
196,3L75076S-MICRO-0135645,3L75076S,12/20/2013,1136209,0.5,2.4,99.1,1,100,97,S1,97,99,99,101,100,102,,,,,,,0.496,99.2,<0.10,<0.10,0,0,0,5,5,<10,<5,ABSENT_1G,ABSENT_10G,<10
197,3L75073S-MICRO-0135764,3L75073S,12/21/2013,1136209,0.5,3.5,101,1.5,100,97,S1,97,104,101,99,100,101,,,,,,,0.501,100.2,<0.10,<0.10,0,0,0,4,4,<10,<5,ABSENT_1G,ABSENT_10G,<10
198,3L75077S-MICRO-0135769,3L75077S,12/22/2013,1136209,0.5,4.3,100.3,1.8,100,99,S1,100,102,99,99,100,100,,,,,,,0.497,99.4,<0.10,<0.10,0,0,0,2,2,<10,<5,ABSENT_1G,ABSENT_10G,<10
199,3L75078S-MICRO-0135655,3L75078S,1/16/2014,1136209,0.5,2.2,101.1,0.9,100,97,S1,99,98,102,101,101,97,,,,,,,0.503,100.6,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
200,4A81408S-MICRO-0139642,4A81408S,1/18/2014,1136209,0.5,2.9,99.7,1.2,100,98,S1,98,102,99,99,100,101,,,,,,,0.5,100,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
201,4A81409S-MICRO-0139647,4A81409S,1/19/2014,1136209,0.5,3.6,100.1,1.5,100,98,S1,100,100,101,102,98,98,,,,,,,0.495,99,<0.10,<0.10,0,0,0,0,0,10,<5,ABSENT_1G,ABSENT_10G,<10
202,4A81410S-MICRO-0139652,4A81410S,1/20/2014,1136209,0.5,3.8,99.4,1.6,98,95,S1,95,101,99,97,98,100,,,,,,,0.498,99.6,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
203,4A81411S-MICRO-0139657,4A81411S,1/21/2014,1136209,0.5,3.6,98.5,1.5,98,94,S1,97,98,101,98,100,94,,,,,,,0.49,98,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
204,4A81412S-MICRO-0139662,4A81412S,1/22/2014,1136209,0.5,4.4,100.2,1.8,99,96,S1,96,99,97,99,97,104,,,,,,,0.497,99.4,<0.10,<0.10,0,0,0,0,0,10,<5,ABSENT_1G,ABSENT_10G,<10
205,4A81413S-MICRO-0139667,4A81413S,1/23/2014,1136209,0.5,4.7,98.8,2,97,95,S1,98,95,95,97,100,97,,,,,,,0.502,100.4,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
206,4A81414S-MICRO-0139672,4A81414S,1/25/2014,1136209,0.5,5.6,99.5,2.3,99,97,S1,98,102,100,98,98,97,,,,,,,0.503,100.6,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
207,4A81415S-MICRO-0139677,4A81415S,1/26/2014,1136209,0.5,3.8,99,1.6,100,97,S1,100,97,101,101,100,100,,,,,,,0.488,97.6,<0.10,<0.10,0,0,0,1,1,<10,<5,ABSENT_1G,ABSENT_10G,<10
208,4B77865S-MICRO-0142947,4B77865S,2/18/2014,1136209,0.5,6,98.8,2.5,99,96,S1,99,101,101,98,99,96,,,,,,,0.5,100,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
209,4B77866S-MICRO-0142952,4B77866S,2/19/2014,1136209,0.5,3.3,98.8,1.4,98,96,S1,99,97,100,98,96,97,,,,,,,0.494,98.8,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
210,4B77867S-MICRO-0142959,4B77867S,2/20/2014,1136209,0.5,4.1,98.6,1.7,99,97,S1,97,101,98,98,97,100,,,,,,,0.5,100,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
211,4B77870S-MICRO-0142976,4B77870S,2/21/2014,1136209,0.5,2.8,98.8,1.2,99,95,S1,99,99,95,101,99,102,,,,,,,0.497,99.4,<0.10,<0.10,0,0,6,3,9,<10,<5,ABSENT_1G,ABSENT_10G,<10
212,4B77871S-MICRO-0142981,4B77871S,2/24/2014,1136209,0.5,2.8,98.1,1,100,96,S1,96,103,101,100,98,99,,,,,,,0.501,100.2,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
